GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DataFrame,fr.devops.Exceptions,BadArgumentException,0,4,0,0,0,2,0,1,0,1
DataFrame,fr.devops.Exceptions,LabelNotFoundException,0,4,0,0,0,2,0,1,0,1
DataFrame,fr.devops.Exceptions,NotaNumberException,0,4,0,0,0,2,0,1,0,1
DataFrame,fr.devops.main,Main,168,0,0,0,14,0,2,0,2,0
DataFrame,fr.devops.dataframe,Dataframe,243,554,26,56,47,99,21,44,6,18
DataFrame,fr.devops.dataframe,Row,3,0,0,0,2,0,1,0,1,0
DataFrame,fr.devops.dataframe,Column,0,45,0,6,0,12,0,9,0,6
DataFrame,fr.devops.operations,Statistics,3,175,0,20,1,30,1,14,1,4
DataFrame,fr.devops.operations,Arithmetics,3,0,0,0,1,0,1,0,1,0
